topic_id,top_10_words,document_count
0,"eee, gw, deutschland, emission, maske, wind, frankreich, ffp, österreich, netto",414
1,"merkel, cannabis, sitz, bundeswehr, linker, stuttgart, inhalt, wahrscheinlichkeit, grad, deutsch",239
2,"mensch, gut, werden, corona, vieler, müssen, sagen, sein, land, kommen",5716
3,"frau, mann, merz, grundrecht, lee, grundeinkommen, annahme, friedrich, stück, wissler",240
4,"frei, bett, weidel, behandlung, alice, intensivbett, kita, lk, belegen, kreis",219
5,"afd, deutsch, bundestag, mitglied, deutschland, politisch, recht, partei, sehen, abgeordneter",2564
6,"mrd, dielinke, stimme, wahlkreis, wähler, china, kubicki, ampel, ungeimpft, ad",113
7,"cases, covid, data, number, people, per, feb, germany, nov, jan",831
8,"sachsen, berlin, hamburg, baden, württemberg, brandenburg, thüringen, alternative, hessen, niedersachsen",302
9,"straße, wahlergebnis, generalsekretär, peter, wdr, nordrhein, monatlich, westfalen, rote, offensichtlich",112
10,"euro, jahr, einkommen, steuer, deutsch, milliarde, million, zahlen, hoch, geld",523
11,"uhr, michael, berliner, live, bild, mail, nachm, martin, google, android",242
12,"covid, vaccin, health, years, global, energy, public, pfizer, org, electricity",944
13,"anteil, fall, kw, alter, wahrscheinlich, covid, impfdurchbrüch, symptomatisch, paul, angabe",187
14,"eu, sozial, innen, neu, zukunft, europäisch, sowie, klima, energie, klimaschutz",1284
15,"spd, fdp, linke, grüne, grün, cdu, partei, union, bundestagswahl, afd",2401
16,"sars, cov, government, absatz, minister, party, prime, deputy, new, green",477
17,"deutschland, prozent, rente, oo, deutsche, partei, vorschlag, om, kosten, land",596
18,"jahr, covid, tag, fall, impfung, deutschland, inzidenz, impfstoff, corona, datum",2760
19,"un, et, al, ns, een, au, ch, --, na, us",615
20,"antwort, tweet, twitter, oo, std, gefällt, app, min, iphone, retweet",643
21,"kind, schule, test, person, jugendliche, bleiben, arzt, kitas, eltern, treffen",385
22,"cdu, csu, spahn, demokrat, jens, georg, hans, maskendeal, aserbaidschan, landtagswahl",388
23,"death, post, dec, status, bestand, selbstverständlich, sı, oecd, cause, june",89
24,"mm, ei, eur, fr, ss, te, pr, mi, mn, em",545
