topic_id,top_10_words,document_count
0,"mensch, leben, sicher, meinung, tweet, gerne, möchten, arbeiten, gut, leute",39525
1,"gut, richtig, frage, verstehen, thema, falsch, stellen, wichtig, vielleicht, schlecht",67581
2,"problem, kosten, bereits, hoffen, nutzen, ding, fehler, system, behaupten, kritik",10556
3,"stehen, aussage, na, nix, bzw, btw, seite, erwarten, deutsche, meinen",11693
4,"bitte, jemand, schön, schreiben, lieb, helfen, sache, twitter, oh, auto",18333
5,"frau, herr, egal, merkel, völlig, person, schnell, gesetz, leisten, obwohl",23154
6,"dafür, land, brauchen, geld, halt, deutschland, ganz, gut, bekommen, welt",49600
7,"sein, ende, genug, heißen, sozialismus, funktionieren, zurück, komplett, union, schuld",20329
8,"linke, partei, afd, wählen, fdp, cdu, grüne, spd, sed, wahl",66047
9,"hoch, dabei, nennen, fallen, zahl, gelten, viele, angst, daher, handeln",20082
10,"bleiben, arbeit, verlieren, reich, position, vorsitzend, spielen, ehrlich, deswegen, erfolg",9909
11,"wort, sitzen, woche, flüchtling, freuen, werfen, unterstützen, platz, test, europa",8806
12,"corona, tag, fordern, innen, möglich, haben, schlimm, macht, freiheit, entscheiden",13701
13,"deutsch, punkt, bild, weidel, vergessen, nochmal, tragen, maske, reiche, persönlich",10132
14,"eben, demokratie, staat, grün, links, bundestag, rot, nato, volk, wollen",11619
15,"überhaupt, beide, laufen, monat, sowas, naja, fehlen, russland, bisher, erkennen",11812
16,"setzen, passieren, absolut, gt, toll, ok, direkt, lösung, erstmal, vorher",7721
17,"jahr, vieler, seit, letzter, sozial, danke, wohl, fast, ändern, alt",26171
18,"demokratisch, nehmen, scheinen, ernst, selber, eh, weder, bestimmt, sofort, faschist",7932
19,"amp, echt, bürger, noafd, mitglied, bundeswehr, schützen, genauso, medium, unser",13302
20,"davon, ddr, kennen, berlin, schaffen, führen, fragen, lang, kaum, fakt",9370
21,"impfung, eher, fall, erster, schwer, million, paar, peinlich, weniger, laschet",17619
22,"lassen, kind, endlich, impfen, hören, antwort, frei, reichen, wann, öffentlich",31818
23,"lesen, sprechen, linker, dagegen, darum, interview, unternehmen, bei, ampel, artikel",9773
24,"nazi, dumm, lange, erklären, argument, hartz, sorry, thüringen, bald, damals",9839
