topic_id,top_10_words,document_count
0,"et, bi, --, deutschland, bee, wissler, em, erforderlich, ur, jemand",275
1,"werden, jahr, vieler, mensch, deutsch, seit, land, müssen, berlin, person",1021
2,"stichtag, einzeln, mio, jeweils, anzahl, angabe, el, null, wohnung, sachsen",128
3,"stephan, brandner, afd, deutschland, land, scholz, olaf, wahlkreis, dank, normal",544
4,"spd, cdu, fdp, csu, bündnis, grünen, afd, abgeordneter, linke, herr",825
5,"trotz, impfdurchbrüch, wahrscheinlich, min, first, mt, erkrankung, plötzlich, verlieren, vollständig",82
6,"uhr, impfpflicht, ab, cdu, berlin, landtag, leipzig, brinkhaus, live, wahl",409
7,"bundestag, fraktion, deutsch, antrag, abgeordneter, wahlperiode, reden, präsident, demokratie, natürlich",435
8,"pandemie, lage, kommen, fordern, christian, michael, epidemisch, corona, falsch, erst",458
9,"lauterbach, karl, woche, infektion, kurz, million, infizieren, sa, positiv, van",116
10,"sozial, linksfraktion, minute, dielinke, winter, linke, ofthe, bartsch, matthias, dietmar",349
11,"uhr, august, september, januar, montag, dienstag, md, ab, weimar, zz",204
12,"kollege, herr, frage, antwort, kollegin, geehrt, mitglied, kenntnis, nr, gl",177
13,"gesetzentwurf, deutschland, gut, morgen, volk, wähler, märz, drucksache, tief, baden",275
14,"thüringen, bayern, november, sachsen, impfung, links, information, ideologie, corona, stand",268
15,"ei, di, mm, eee, ch, na, mi, ar, een, un",410
16,"gera, abg, debatte, ad, laschet, allgemein, direkt, armin, martin, danke",165
17,"euro, corona, tag, prozent, quelle, maske, neu, hoch, bundesminister, bevölkerung",653
18,"covid, people, united, dos, age, may, vaccin, germany, health, apr",223
19,"sagen, donnerstag, tun, sein, geben, brauchen, zeit, dürfen, sehen, spiegel",552
20,"innen, außen, übrig, phänomenbereich, tagesordnung, termin, kipping, katja, landesverband, rb",93
21,"cases, data, new, day, per, mar, jan, covid, nov, days",176
22,"source, tabelle, ug, ah, ce, sechs, daily, tz, years, herzlich",148
23,"tag, inzidenz, test, pro, bundespräsident, sport, max, einzelhandel, bzw, landkreis",135
24,"uhr, tweet, twitter, mo, rede, melden, ai, mai, angabe, retweet",234
