topic_id,top_10_words,document_count
0,"danke, herzlich, schön, glückwunsch, vieler, jahr, dank, gut, neu, gemeinsam",2551
1,"impfpflicht, impfstoff, spahn, corona, impfen, dez, lassen, impfung, kommen, gut",4719
2,"cdu, merkel, csu, chef, kanzlerin, us, angela, biden, deutschland, china",1442
3,"berliner, berlin, pdf, februar, allerdings, rbb, team, bezahlbar, ach, derjenige",532
4,"bild, politik, inland, sache, versuchen, fordern, gesamt, maas, meinung, versagen",512
5,"brandner, usa, wähler, türkei, arm, idee, menschenrecht, international, ndr, präsident",326
6,"gut, brauchen, müssen, mensch, laschet, land, dafür, wichtig, zeit, gesellschaft",5089
7,"corona, pandemie, lockdown, welt, maßnahme, krise, hoch, ungeimpfte, geimpft, söder",5363
8,"kind, wk, schule, folge, familie, schnelltest, app, jugendliche, schüler, besonders",856
9,"afd, bundestag, berlin, fraktion, deutsch, afdbundestag, live, koalitionsvertrag, linke, youtu",3204
10,"frau, werden, jahr, mann, polizei, gewalt, welt, zwei, rente, mehrere",1961
11,"youtube, video, focus, mdr, respekt, linke, verdienen, parteitag, passieren, watch",284
12,"eu, europa, klimaschutz, deutschland, urteil, europäisch, ziel, polen, klima, darum",2586
13,"korruption, fordern, preis, verbot, lohn, beschäftigter, abgeordneter, eigen, politik, habeck",1298
14,"jahr, euro, deutschland, million, seit, mensch, nov, geld, nachricht, vieler",5077
15,"antwort, scholz, warum, person, eigentlich, weit, machen, spd, olaf, frage",4963
16,"afd, linke, thüringen, partei, deutschlandabernormal, sozial, cdu, wählen, linker, wahl",5519
17,"morgen, gut, digital, uhr, facebook, gleich, freuen, maske, ab, posts",2205
18,"demokratie, freiheit, innen, afghanistan, einsatz, bundeswehr, frei, mensch, leben, bürger",2103
19,"tragen, pflege, opfer, spielen, krieg, triell, dürfen, tag, bundesweit, nie",698
20,"bundesregierung, antwort, klein, anfrage, stoppen, konzern, lösung, dringend, rassismus, reichen",858
21,"öffentlich, feb, beenden, parlament, lauterbach, fordern, schritt, pflicht, gesetz, ernst",652
22,"gera, wagenknecht, sahra, friedrich, migrant, aufbruch, grenze, taz, illegal, einzelhandel",389
23,"spd, fdp, grüne, ampel, politik, interview, link, grün, zdf, union",2578
24,"medium, twitter, zeitung, spiegel, source, --, versprechen, berliner, social, haus",814
