,topic_0_word,topic_0_score,topic_1_word,topic_1_score,topic_2_word,topic_2_score,topic_3_word,topic_3_score,topic_4_word,topic_4_score,topic_5_word,topic_5_score,topic_6_word,topic_6_score,topic_7_word,topic_7_score,topic_8_word,topic_8_score,topic_9_word,topic_9_score,topic_10_word,topic_10_score,topic_11_word,topic_11_score,topic_12_word,topic_12_score,topic_13_word,topic_13_score,topic_14_word,topic_14_score,topic_15_word,topic_15_score,topic_16_word,topic_16_score,topic_17_word,topic_17_score,topic_18_word,topic_18_score,topic_19_word,topic_19_score,topic_20_word,topic_20_score,topic_21_word,topic_21_score,topic_22_word,topic_22_score,topic_23_word,topic_23_score,topic_24_word,topic_24_score
0,deutschland,0.013575109740836866,euro,0.02792814532121753,tweet,0.10408269091874398,covid,0.054054214860421376,impfstoff,0.05098512711432769,corona,0.04628310473471133,covid,0.04610263529326475,politik,0.025545482249520107,kind,0.0639637028868651,union,0.09764734587449787,cannabis,0.09163336229551465,freiheit,0.03770921059736211,afghanistan,0.046001449288426685,frau,0.08483423774178189,flüchtling,0.04917470574088955,idiot,0.04787962363373938,virus,0.05063703429436191,maske,0.17426072703691012,israel,0.07918889403282174,cdu,0.16510580682982395,scholz,0.17773348164954184,prime,0.2309858348226858,grüne,0.1267484518627786,digital,0.09030220111437243,lauterbach,0.16797556212624737
1,afd,0.011223347149142639,jahr,0.013201385863093208,twitter,0.07881796735753535,cases,0.04932652452468999,impfung,0.048795434122705664,jahr,0.046131531194254886,fall,0.02743002014797057,partei,0.025395635602967502,schule,0.05904497476012864,spd,0.08061405675140056,legalisierung,0.039520590956698645,recht,0.028914182209785387,taliban,0.030616573643692555,mann,0.04001128367494828,deutschland,0.02747781650966464,journalist,0.027826254804816826,variante,0.029577277904802367,ffp,0.08971565307400482,jude,0.056928516456040634,csu,0.1369784162062963,olaf,0.157059148042005,deputy,0.22586072784592084,antrag,0.04636071740507426,digitalisierung,0.0336430765778464,karl,0.10631923571131771
2,cdu,0.010634713592998526,deutschland,0.012178380962557418,antwort,0.056591994458604286,data,0.04625765822324325,biontech,0.022421543484117512,coronavirus,0.03354084574076764,patient,0.02395780196923674,politisch,0.019315592348660614,kitas,0.025581835744891885,bundestagswahl,0.06763099802261868,droge,0.03656477100522071,grundgesetz,0.02762898734038182,bundeswehr,0.027518341286162328,arbeitsförderung,0.035623780362621676,migration,0.025410921296573113,ideologie,0.021679492804138698,cov,0.027800184954290295,belegung,0.03796186274460044,antisemitismus,0.044713607751747556,maskendeal,0.07732147291488876,spd,0.05302935553527445,party,0.22381483522995102,grün,0.0417874553519289,neu,0.022025799094073945,spd,0.030440187312586655
3,deutsch,0.010230656355931728,energie,0.011150736938136185,iphone,0.028878265142763447,number,0.041635219406042,covid,0.02238941963743678,fall,0.023261269067173185,tag,0.01789131634390735,demokratie,0.018865681394115312,schüler,0.020556702420068042,grün,0.06709041020804415,alkohol,0.03002982825657168,absatz,0.023164746807275323,kabul,0.01925861146716245,geschlecht,0.02919444714796758,europäisch,0.022813620136100145,pmk,0.021653160005036358,sars,0.02762556278550661,spahn,0.03570019044307078,muslim,0.03743829066953933,aserbaidschan,0.06593730413177515,baerbock,0.04409140935378079,abazovic,0.20967262531802236,bündnis,0.0407147432019238,internet,0.020061666124609485,professor,0.024559482478758568
4,spd,0.00872265138369672,einkommen,0.011128275486807072,retweet,0.02803329040852279,people,0.03402003010634591,impfen,0.02063617103349476,covid,0.02260458610943309,long,0.016340767969990976,merkel,0.016367128002212007,eltern,0.018487461517241472,wahl,0.057480849752345846,konsum,0.02866074543499082,artikel,0.022798276202287963,seit,0.017292069302969837,frauenförderung,0.025384742575083958,mensch,0.022467192799934987,gegner,0.016789452747515886,mutation,0.0275886376754246,tragen,0.03490678628862385,palästina,0.03636606504000104,fdp,0.05175485653415742,laschet,0.04158895955069004,government,0.20404902565378108,arbeiten,0.03895377981240798,innovation,0.01805685356736748,lipobay,0.020590380182220213
5,corona,0.008539500774911456,gw,0.010662828429441629,blockieren,0.027119178312304423,deaths,0.03276534540975017,astrazeneca,0.01919633767366184,variante,0.021799513482542124,cov,0.015499685085797998,cdu,0.01618766878775819,bleiben,0.018300488262646086,fdp,0.05218991055599623,legal,0.023918426303683703,mensch,0.019596432614170527,werden,0.015856774112559566,arbeitsmarktbericht,0.025384742575083958,zuwanderung,0.020989504105676408,faschismus,0.015745250994781874,test,0.027362700599738447,ehemann,0.032124023223577755,islamistisch,0.026425079124724766,affär,0.05135905062308597,annalena,0.03575906024043672,minister,0.20186277006402573,fdp,0.03837477957765196,gut,0.01714756714884252,gesundheitsexperte,0.020449316100999388
6,berlin,0.00806103796066808,emission,0.010563486465833594,gefällt,0.025907891172591166,feb,0.031587571830265594,impfpflicht,0.018092852194622717,impfen,0.02049988434759891,sars,0.014825062617657054,politiker,0.013769025937689517,inzidenz,0.016971536661511875,cdu,0.04368863952959249,konsument,0.02123857267426226,gesetz,0.018438957675848154,us,0.01547236582299242,verweis,0.024762755953580382,eu,0.02078129870824398,protest,0.015663178297474895,zeitplan,0.022280825492753713,burda,0.030657232622330347,palestinian,0.023256542370508292,spd,0.04696294931635773,cum,0.034896412872461674,green,0.1990038029089132,halbstündig,0.029758493350354652,infrastruktur,0.01709615232833329,schmidt,0.02022225279416048
7,bundestag,0.007822588233098983,klima,0.009725394976994164,kannst,0.023521835024548198,per,0.030362684594618106,pfizer,0.016462287784299815,zahl,0.019800711813878488,wahrscheinlich,0.014475668721000243,land,0.012941331238653453,inzidenzwert,0.016862955919669426,umfrage,0.038142579680327963,ludwig,0.021196056946722077,grundrecht,0.01745066554210948,german,0.013538828454731032,arbeitslosigkeit,0.024608567435587425,migrant,0.020138745982480364,propaganda,0.014826557940316648,pcr,0.02187093676276433,verkauft,0.01964178669257241,tweet,0.019700152105849682,vetternwirtschaft,0.041365439433208466,triell,0.03348342943726598,greens,0.13956790225073812,ortskräfte,0.029683153099865498,verwaltung,0.016755473854352877,gesundheitspolitiker,0.02009743237250707
8,jahr,0.007763551237371037,quelle,0.00934555795092893,app,0.022418970544418385,confirmed,0.026935357542257083,vaccin,0.015792684065640803,geimpft,0.01954549464965406,anteil,0.013340617652996559,fdp,0.012380213009376764,optional,0.01598179842379927,mehrheit,0.03636000539618765,rauchen,0.02002186637590213,meinung,0.01442705370977301,trump,0.012358553401580005,bestand,0.024044870653011745,land,0.0191857368704796,vv,0.014446042036255971,variant,0.019326115712214306,jens,0.018601892576681357,jerusalem,0.018866264502429692,linke,0.03970226951806983,armin,0.033301978622244405,coalition,0.13411335445985512,gruppenverfahren,0.029507541401262286,sozial,0.01650068380881661,studie,0.018997716381007734
9,werden,0.007650349317987471,klimaschutz,0.009268654869089302,zitierte,0.021744666790122484,source,0.02653429571029506,werden,0.01512347088226394,vollständig,0.017625320427530695,children,0.012931357792651234,bürger,0.011853479559804902,unterricht,0.014273146017050884,laschet,0.03560629875500877,marihuana,0.019311453202889985,gewalt,0.013282274365904663,afghan,0.012033724650670338,sgb,0.023640837396340403,asyl,0.017720177341339485,gewalt,0.013497408488178297,quartal,0.015402020660035945,gesundheitsministerium,0.018130268835603817,widerstandsbewegung,0.018800232471828965,lobbyismus,0.03376120613141778,kanzlerkandidat,0.03184272509213321,dez,0.13380759779474363,bundestag,0.029343746375118974,brauchen,0.016335550806584484,ulla,0.018096042017222005
