,topic_0_word,topic_0_score,topic_1_word,topic_1_score,topic_2_word,topic_2_score,topic_3_word,topic_3_score,topic_4_word,topic_4_score,topic_5_word,topic_5_score,topic_6_word,topic_6_score,topic_7_word,topic_7_score,topic_8_word,topic_8_score,topic_9_word,topic_9_score,topic_10_word,topic_10_score,topic_11_word,topic_11_score,topic_12_word,topic_12_score,topic_13_word,topic_13_score,topic_14_word,topic_14_score,topic_15_word,topic_15_score,topic_16_word,topic_16_score,topic_17_word,topic_17_score,topic_18_word,topic_18_score,topic_19_word,topic_19_score,topic_20_word,topic_20_score,topic_21_word,topic_21_score,topic_22_word,topic_22_score,topic_23_word,topic_23_score,topic_24_word,topic_24_score
0,cdu,0.01595147721554567,impfung,0.034656283098133796,deutschland,0.06219215794919851,geld,0.04283164284074907,tweet,0.15884673189282245,klimaschutz,0.073779907531972,union,0.10494242485730493,energie,0.03667296841313991,bild,0.03443027508285045,israel,0.12479495358577272,frau,0.08435668143043464,auto,0.0949993715376247,nazi,0.21170622339136133,digital,0.06439965406423695,angst,0.143553518080803,korruption,0.1341537485057095,cannabis,0.25587796881955394,maske,0.22319877840686836,christlich,0.07881406106953182,flüchtling,0.0839343844127041,alkohol,0.08380540047958637,droge,0.05383711862464381,lachen,0.1192818486050352,lockdown,0.23864970560757268,fdp,0.10215798780633024
1,gut,0.01553269706752837,impfstoff,0.025256386048571233,deutsch,0.03113918082570365,steuer,0.03295917991874863,twitter,0.09485951404954092,klima,0.060621615207701984,arbeit,0.046251778877206495,strom,0.030175354453170145,journalist,0.02983601257989466,antisemitismus,0.038508807143164445,mann,0.05401024150938928,fahren,0.07174443904375793,afdbeobachtungjetzt,0.05108140510135664,digitalisierung,0.05753848887633233,panik,0.07939499182792908,korrupt,0.11613803708237812,legalisierung,0.14897760083957917,tragen,0.09653173501847184,kirche,0.05772789594169729,migrant,0.056103411489354466,trinken,0.05925102943197189,pharma,0.04678352922497502,satire,0.0793673428588468,hart,0.04391413766462742,liberal,0.07662655510011883
2,kind,0.015108154933318133,impfen,0.024714003125815457,berlin,0.018345887919098525,zahlen,0.021949699173200075,lesen,0.02281015249107089,klimawandel,0.03623488556396862,job,0.035234448034932815,wind,0.029787289289012555,tv,0.026051690282430522,islam,0.02816123774387983,rassismus,0.02729552483757482,bahn,0.02940826149075799,fckafd,0.045332633565895765,internet,0.048903139119640414,panikmach,0.030315426915914958,cdukorruption,0.03643302886121751,cannabislegalisierung,0.06429570824776651,ffp,0.070280140335229,wert,0.05382832008429338,migration,0.034433812646196216,rauchen,0.05486819910732535,medikament,0.0441872671220559,lustig,0.06253141206787449,lockdowns,0.03520878498778199,konservativ,0.0741317053693153
3,herr,0.012017820581517928,pandemie,0.02125315373570976,land,0.015936759160746043,staat,0.02086259804751606,account,0.021332451696442302,klimakrise,0.031808061721159846,arbeiten,0.030815806938968286,wasserstoff,0.02439151500433921,fake,0.02352470349547633,jude,0.02806941785490756,terf,0.022851321691749398,km,0.025549998734084603,afd,0.04390681714151697,app,0.03434336070017526,verbreiten,0.02846785017597506,cdu,0.03583682731445069,legalizeit,0.04700496664143003,abstand,0.03453074769602749,christian,0.03799532810555224,land,0.033115282093262886,bier,0.04436618330900694,drogenpolitik,0.03283490512421307,humor,0.05367345492284814,maßnahme,0.019708311759346894,liberale,0.044077324322735784
4,grüne,0.011798230850269171,virus,0.020034674094278084,gut,0.013717902697740307,rente,0.020675321796046562,media,0.019005998672228165,thema,0.01840838559667439,gut,0.016099696153413615,erneuerbar,0.022038619427815254,propaganda,0.023211083288912228,palästinenser,0.02438059378415205,rassistisch,0.022288834510329127,autobahn,0.023658753644416837,noafd,0.038229233732733583,datum,0.022020931054631723,mensch,0.022280705398999134,csu,0.03049368736744144,joint,0.03666929201741579,maskenpflicht,0.026959972614217474,religion,0.0375146783993711,afd,0.029172934682721287,wein,0.029619626715002255,pharmaindustrie,0.028039233955919965,ironie,0.0380928761155428,woche,0.016582196233917157,partei,0.04014714497359087
5,partei,0.01162960893661682,geimpft,0.016214780881054963,euro,0.013490149033768734,hoch,0.019131765327546547,twittern,0.018869131212930816,nichtverhandelbar,0.01669321708341132,spd,0.015841049183668753,brauchen,0.019096704847211238,sendung,0.02305905470249009,muslim,0.022220048894736527,gender,0.01945282006736234,stadt,0.02341402484916227,faschist,0.02586459599047027,datenschutz,0.020813655985879722,psychisch,0.01942336151321793,lobbyismus,0.025688373784826808,mehrheitfuerlegalisierung,0.035711158713624826,spahn,0.012652738792578807,christ,0.032907100515307146,illegal,0.02530113509542234,raucher,0.028588394954681143,dose,0.027155652171216724,ernst,0.03487122027503935,nocovid,0.014388697686524867,konservative,0.03221972087002015
6,spd,0.011481004464191138,mensch,0.014637486224382395,europa,0.012731009018602649,kosten,0.016844732831104985,schreiben,0.01515564210643209,amp,0.016662407445252877,opposition,0.0138347724556744,bauen,0.019051783345926877,medium,0.022321455949699618,hamas,0.021397545396549308,mensch,0.016091836758758575,zug,0.021900750590304007,nazisraus,0.02507615275826539,netz,0.016928399547622073,schüren,0.016257103524189735,politiker,0.02209475829489398,prohibition,0.0338375672798852,sehen,0.011087368162232136,gott,0.02692480887857619,migrationshintergrund,0.021281215018616816,kaffee,0.02813197594309392,lobbyist,0.024477239404744187,echt,0.027036361326660305,zahl,0.014217451827724869,neoliberal,0.030324113711865303
7,corona,0.010898813219895142,test,0.014446087587221325,deutsche,0.012434250374180267,bezahlen,0.016587535456776815,facebook,0.013081695861785021,klimapolitik,0.016624002401471025,machen,0.012491603152811205,gas,0.01683064514859271,talkshow,0.02025781001751077,iran,0.02050660578083012,gendern,0.015249103920752427,straße,0.020902114467412126,neonazi,0.01781510850760705,online,0.01678755006578246,leben,0.013532258038277881,partei,0.021315290772684632,rauchen,0.033794231928981226,mensch,0.011035093478829942,religiös,0.024376237668058312,asyl,0.02094345971773283,flasche,0.02604791988548871,apotheke,0.016413361542114747,witzig,0.026839948001780262,kontakt,0.013826454477343856,freiheit,0.019805540418560273
8,jahr,0.010718413123850572,lassen,0.014432142315129778,eu,0.012283068658918836,markt,0.014460039253553667,gut,0.012767162629036424,sozial,0.016174121517879416,arbeitnehmer,0.012400429783431463,kohle,0.016423694144191144,news,0.017536952077788052,antisemitisch,0.019777890049286654,geschlecht,0.01418445020233291,öpnv,0.016517545582004283,afdverbotjetzt,0.01652671115806799,per,0.013992927993862004,machen,0.012381712407823752,cdurausausderregierung,0.017661418257399888,richtermüller,0.03193459813049111,gut,0.010822462537133771,lindner,0.023290940211641516,grenze,0.020349824838200737,verbieten,0.023052738178292464,dosis,0.014742390384496028,komisch,0.026705526009236553,november,0.012945528398724553,lindner,0.016638596560158737
9,machen,0.01000368951818018,impfpflicht,0.013287078060021678,afd,0.01142798864169038,preis,0.014214461081185481,servicetweet,0.012382762579046316,zukunft,0.015583253831148235,laschet,0.011693089078401877,teuer,0.01455592500315501,öffentlich,0.016944156986798953,israelisch,0.017103982998932548,weiß,0.012965110740949037,tempolimit,0.01577383696309023,partei,0.015089285314563359,nutzen,0.013046596375436433,hören,0.011681788265966418,niemehrcducsu,0.01726675868854971,alkohol,0.025733659420174405,test,0.010764154734198091,katholisch,0.021468449306788782,eu,0.01951444478773779,zigarette,0.01908086085656944,nehmen,0.013568673846769748,sarkasmus,0.02615012272027336,inzidenz,0.012415680397507987,liberalismus,0.01558179064339229
