,topic_0_word,topic_0_score,topic_1_word,topic_1_score,topic_2_word,topic_2_score,topic_3_word,topic_3_score,topic_4_word,topic_4_score,topic_5_word,topic_5_score,topic_6_word,topic_6_score,topic_7_word,topic_7_score,topic_8_word,topic_8_score,topic_9_word,topic_9_score,topic_10_word,topic_10_score,topic_11_word,topic_11_score,topic_12_word,topic_12_score,topic_13_word,topic_13_score,topic_14_word,topic_14_score,topic_15_word,topic_15_score,topic_16_word,topic_16_score,topic_17_word,topic_17_score,topic_18_word,topic_18_score,topic_19_word,topic_19_score,topic_20_word,topic_20_score,topic_21_word,topic_21_score,topic_22_word,topic_22_score,topic_23_word,topic_23_score,topic_24_word,topic_24_score
0,deutschland,0.01879286796473339,spd,0.017712037272840087,uhr,0.07478206541511857,klimaschutz,0.0365743734069751,euro,0.08366297623538643,cases,0.05232076514271612,grün,0.08967959043168695,sonntagsfrage,0.10088957389910362,rassismus,0.02798332981493485,pmk,0.03065653270498817,impfstoff,0.07967865963472656,kind,0.09576182907631656,twitter,0.15061503687141292,cdu,0.19179535030950673,scholz,0.229125361192523,afghanistan,0.11874627606532838,russland,0.02712201385338892,virus,0.04754927887860989,arbeit,0.0486100083427934,landwirtschaft,0.07235210632958063,covid,0.0507154609940278,berlin,0.20812706243219323,pandemie,0.11258586734277959,steuer,0.09695935392403572,bartsch,0.221171227176742
1,corona,0.013708959435059275,cdu,0.016583551146701934,digital,0.05018126294986914,energie,0.034102064389343566,rente,0.03358393875977101,covid,0.04900214724356268,grüne,0.08580168120075068,befragung,0.09430764388482975,opfer,0.024299755114962785,unternehmen,0.0280845702833956,impfpflicht,0.054582090536671866,schule,0.05370381428449848,tweet,0.13360113168896642,cduzcsu,0.06827120076613744,olaf,0.20802496945939614,taliban,0.06472954044846538,datenträger,0.02456472600798329,coronavirus,0.04528177671204661,cduo,0.043915659779455905,künast,0.06700130585431377,patient,0.04240729345119694,hbf,0.07591676396921362,kramp,0.03378707079589181,geld,0.060052526763431396,dietmar,0.21368999931656313
2,afd,0.01280944828861547,fdp,0.014554193951130234,facebook,0.049801672439422386,klima,0.030367878595111794,einkommen,0.018791454509672685,data,0.03343622511022299,top,0.04342068573150557,befragter,0.09357082247439645,antisemitismus,0.023890976277219277,quellcode,0.019308001735719706,biontech,0.03378390389479093,familie,0.02744492591869445,iphone,0.052674984759343055,ralph,0.05112567269700212,spd,0.06070727431962862,bundeswehr,0.04447706256103143,unterlage,0.02456472600798329,tz,0.04014627125016043,arbeiten,0.036895108524743675,renate,0.06189954102645805,inzidenz,0.042026051722776944,dielinke,0.06534493868253503,karrenbauer,0.03378707079589181,haushalt,0.0595797962645226,fraktionsvorsitzender,0.05738133725531764
3,deutsch,0.011980429252016834,wahl,0.013193050280752211,live,0.04567149899888329,sozial,0.027945851952703615,gesetzlich,0.017750862592894927,people,0.029621081743877047,abstimmung,0.039839408673108055,fdp,0.08199375417656068,israel,0.01930700785195057,sicherheit,0.018451234354380806,impfung,0.03329559368944712,eltern,0.025226562286202736,account,0.04939258218994706,brinkhaus,0.050864294311785144,alleine,0.04613478795799374,kabul,0.04124615650579962,werden,0.023820800115169245,corona,0.032073259417050234,homeoffice,0.029717267349860473,food,0.039328338805050496,tag,0.04172420533698333,landesverband,0.05258126806031922,milliarde,0.029977347296780272,finanz,0.04489363093735013,linksfraktion,0.05206916303057582
4,uhr,0.011214099961864878,linke,0.01245171971446335,livestream,0.0354307658404854,erneuerbar,0.020943419266557812,mindestlohn,0.01549660100175663,vaccin,0.029490870448527,fdp,0.02595658751561263,cdu,0.08153586743302109,hanau,0.017207195756443524,said,0.01815649287474604,impfen,0.028641575679169803,zwei,0.02461918334388378,retweet,0.037389636236100365,csu,0.046977077247886384,fraktion,0.03244306369626661,krieg,0.027522044170397945,flüchtling,0.02205243512205772,sars,0.031666294591124446,spdo,0.028468041214030126,klöckner,0.03848742593112159,fall,0.0405912524106803,gl,0.0314872401466549,spiegel,0.027073401500181574,jährlich,0.03880031434064438,fit,0.03247630405009353
5,land,0.010493821407836914,union,0.012408115776278735,online,0.024943055916286174,preis,0.01912780094825945,brutto,0.014867762311629559,dos,0.029179437796087806,rote,0.02500093920774062,sonstig,0.07933741280834458,jude,0.016738357937962484,stichtag,0.017185365573152346,impfdosen,0.02401689930016624,kindergrundsicherung,0.02171684920086924,app,0.03669613631630312,live,0.04349982051281538,bundestag,0.03161325022800837,einsatz,0.024468320532430893,memorial,0.019623160586255194,cov,0.03154791696950269,beschäftigter,0.02736875243094693,ernährung,0.03434983687411675,pro,0.03135960232466647,dielinker,0.0314872401466549,annegret,0.025025624012482883,profitiert,0.037585647104643696,alice,0.0318200511994071
6,bundestag,0.010184940056562002,bundestag,0.012248880609426211,podcast,0.022805426537835027,ausbau,0.017947392405647362,hoch,0.014384002595869114,may,0.02822784895637302,folgen,0.024359257109462778,csu,0.07731715730390895,el,0.016422268727547054,hashemi,0.015806222714311164,spahn,0.021520862290208484,kinder,0.021125138596321463,zitierte,0.0335499670331539,statement,0.039057146027049634,kanzler,0.029298105091528182,international,0.024400332511339298,russisch,0.018709876356798754,kw,0.02058176199687491,arbeitnehmer,0.0271130539275085,nachhaltig,0.02932980147203997,rang,0.028481241974630686,linke,0.029911837715065677,müssen,0.024464063660615633,bruttoeinkommen,0.036383980435331,weidel,0.03128806663954857
7,tag,0.010076919943156026,partei,0.011584303902969119,zoom,0.018391473014383087,emission,0.01687062437847132,jahr,0.013495210164040136,number,0.026308667770684267,uhr,0.02433225677310389,spd,0.07580716385376451,weber,0.015394638554699728,sedat,0.015806222714311164,moderna,0.020987904801853773,jugendliche,0.01962741023936953,blockieren,0.03103150563982945,uhr,0.03003356542794845,sozial,0.028309797931622548,ortskräfte,0.02316224321634894,grenze,0.01856744523544657,variante,0.01834888064500521,kurzarbeit,0.025304925523582336,tier,0.029065246585791096,geimpft,0.026191401433268948,leipzig,0.02593050488473781,katrin,0.024337317400323986,mindeststeuer,0.035870810579138386,amira,0.031187569998613274
8,brandner,0.009269021437476982,afd,0.011414162001890764,information,0.017032663704500087,strom,0.015300570540623788,aktienrent,0.013124071612113507,day,0.02617545594826295,bündnis,0.021549816330707863,bundestagswahl,0.07385197238999955,licence,0.01521668903451135,gültekin,0.015806222714311164,astrazeneca,0.020912711797160873,corona,0.018549165140109805,gefällt,0.02951428585996814,zcsu,0.027748553019241333,irrtum,0.025942837350368023,flughafen,0.022927050517746825,migration,0.017979578018453308,covid,0.017744231978127748,arbeitgeber,0.024401748534757652,gentechnik,0.02411423641583242,krankenhaus,0.023577306338387925,rote,0.023369452471252987,eckardt,0.02298115578099539,steuerpolitik,0.03540237813042366,ali,0.030963893470835797
9,stephan,0.00917516610229364,bundestagswahl,0.011005688315549397,deutschland,0.015962235327062486,gas,0.015013206565044658,milliarde,0.012995614507462895,days,0.02472279633965586,zp,0.01874751687309288,linke,0.07361731514726456,gedenken,0.015157295135337383,gürbüz,0.015806222714311164,fordern,0.016755671101346323,paar,0.01592046510455298,angabe,0.029163026668083476,cou,0.025712904971952263,konservative,0.02443587402118545,afghan,0.02208441872695045,deutschland,0.01760778480215094,impfung,0.01706512806371514,überstunde,0.022952866647426705,tierschutz,0.02374398723220369,klinik,0.022525804785983754,ice,0.019416905820317833,göring,0.022863921983617544,meister,0.03427592700430121,mohamed,0.03054329393364598
