,topic_0_word,topic_0_score,topic_1_word,topic_1_score,topic_2_word,topic_2_score,topic_3_word,topic_3_score,topic_4_word,topic_4_score,topic_5_word,topic_5_score,topic_6_word,topic_6_score,topic_7_word,topic_7_score,topic_8_word,topic_8_score,topic_9_word,topic_9_score,topic_10_word,topic_10_score,topic_11_word,topic_11_score,topic_12_word,topic_12_score,topic_13_word,topic_13_score,topic_14_word,topic_14_score,topic_15_word,topic_15_score,topic_16_word,topic_16_score,topic_17_word,topic_17_score,topic_18_word,topic_18_score,topic_19_word,topic_19_score,topic_20_word,topic_20_score,topic_21_word,topic_21_score,topic_22_word,topic_22_score,topic_23_word,topic_23_score,topic_24_word,topic_24_score
0,afd,0.023538828579465532,corona,0.04329273883107261,klimaschutz,0.07190533413182794,digital,0.045278254089227664,euro,0.04146995202691414,csu,0.03357969726101101,eu,0.043677375092384174,kind,0.09087060378248552,youtube,0.07780205690050786,polizei,0.04273519231655061,afghanistan,0.1795953289396885,israel,0.07006493525050576,frau,0.066614740090054,landwirtschaft,0.06692406656317207,twitter,0.10466269375334085,fußball,0.053838654078280195,rassismus,0.11561826071328866,nazi,0.06233460306476639,bahn,0.06679806829128106,arbeit,0.05760310322066574,pflege,0.10018632222541266,maske,0.17771003520147144,atomkraft,0.0774447901011664,türkei,0.14893916756850495,preis,0.06116479177890472
1,berlin,0.02097173589356357,impfstoff,0.020488655480215733,klima,0.027980705536571115,digitalisierung,0.019360069653026182,rente,0.034066171738695805,cdu,0.029626240514323603,russland,0.03826148224408663,schule,0.06462790000275369,live,0.07749177374348525,bundeswehr,0.026380381729271467,taliban,0.06027232003463073,antisemitismus,0.06319002277768951,gender,0.03117188129541405,wald,0.026847545486594494,tweet,0.04134499133184399,spiel,0.04520841149269918,hanau,0.0829926893265234,gedenken,0.056110888450801324,auto,0.05074448793355038,beschäftigter,0.03600184579490061,krankenhaus,0.043061402774913986,ffp,0.08548725303506313,fukushima,0.05702291173355633,erdogan,0.09927728571676836,wasserstoff,0.03733094193877993
2,bundestag,0.01858086917789512,impfung,0.019584612328559438,sozial,0.026213327333538285,uhr,0.01856684534354947,steuer,0.023812837625093758,abgeordneter,0.025046397295448695,belarus,0.0373375152641463,familie,0.0325913173542582,orbit,0.041129754215486716,werden,0.022083262011500578,kabul,0.044810606621450234,jude,0.0372031012807711,sprache,0.030113844012527962,landwirt,0.026585758167484035,trump,0.03498960086831292,hsv,0.04382471123197575,rassistisch,0.06627394282967819,opfer,0.04386347207197766,mobilität,0.04792660191434271,lohn,0.03513794298078338,gesundheit,0.03708588347487565,spahn,0.08231594481901515,atomwaffe,0.04888076223298981,türkisch,0.05763641980585896,energiepreis,0.035471387219862496
3,cdu,0.017786942052675298,pandemie,0.019530613042930696,klimakrise,0.02181944862186992,thema,0.01750522453973674,deutschland,0.020728726373908705,freiheit,0.018013094117835037,nawalny,0.023585414647302842,jugendliche,0.026005864694578024,musiktipp,0.041107199629847276,polizist,0.019699326264712737,bundeswehr,0.040157854800726506,antisemitisch,0.02966189733891407,sexuell,0.024362182606735804,klöckner,0.024494813460112126,source,0.02637793851873104,nurderhsv,0.03793463884529432,gesellschaft,0.038551556600446825,jahr,0.038682040687190486,scheuer,0.02863961889784518,gut,0.030789452084352232,pflegekraft,0.03597306122954945,jens,0.03670686586951972,kernenergie,0.03709736409433841,eu,0.042568833603766704,strom,0.03459425424209641
4,spd,0.014874403099110145,impfen,0.019266696321335222,klimawandel,0.019871608063560586,abend,0.012482087443611845,jahr,0.01742150575281991,bundestag,0.017579951018334743,grenze,0.02305038864896049,corona,0.022435381063350256,draußen,0.04050124305904491,soldat,0.01832429190372483,einsatz,0.031633441257102435,jüdisch,0.02852543912660822,mann,0.021006668897766673,lebensmittel,0.02363763874114699,medium,0.025095603084220625,sport,0.03601259652427547,diskriminierung,0.03507083379983411,holocaust,0.031895042663631794,fahren,0.023905510589985253,arbeitsmarkt,0.027897192046137022,gut,0.03006397770589369,maskenpflicht,0.029720336646115602,atomausstieg,0.036382859959924,hdp,0.03822141243936038,inflation,0.03431036290760624
5,gut,0.0141348969764841,covid,0.018912166774892353,bei,0.017931933225809635,journalist,0.012217244313597936,scholz,0.01615302826466452,afd,0.01663744499085068,polen,0.022276457376065272,eltern,0.0216666678416883,youtu,0.03769444102343875,gewalt,0.017220579567848254,soldat,0.031268681459159266,islamistisch,0.025392086274457035,weltfrauentag,0.01404651665983361,ernährung,0.021855538962571093,jan,0.023939233679068164,uefa,0.0319158044979693,opfer,0.02726955356850577,erinnern,0.031214414038419798,verkehr,0.022977423937363083,heil,0.026129350826162974,pflegenotstand,0.02486440888582091,gesundheitsminister,0.02851878724899236,atomwaffenverbotsvertrag,0.03423303325109899,turkey,0.03192964182241499,teuer,0.03283267220551745
6,grüne,0.013538156982801842,lockdown,0.014121036295574459,müssen,0.015701072917383364,cducsu,0.011357838808982171,milliarde,0.016006190292932387,transparenz,0.01652805662383874,putin,0.020492876715675158,schüler,0.018583042779983804,bordesholm,0.03603853041703385,myanmar,0.01648520820956951,ortskräfte,0.030142366761912717,deutschland,0.02429874781639027,recht,0.013959804659615983,agrarpolitik,0.020687093815440684,status,0.022373750092619018,adler,0.030506802281968885,mensch,0.025953006777955534,weremember,0.03107927493410788,verkehrswende,0.021645537912801167,arbeitsbedingung,0.022228701997916447,arbeitsbedingung,0.024592198221372073,tragen,0.023087426159996222,deutschland,0.03339299176859319,istanbul,0.02788763954984124,steigen,0.031793832119568134
7,brandner,0.012762617440431803,mensch,0.012309550628739124,brauchen,0.014620536979333512,gast,0.01121066712857899,mindestlohn,0.01598550070194591,verfassungsschutz,0.015383117678026229,migrant,0.019278813294505526,kitas,0.01575184180839311,morgen,0.03588750558960306,einsatz,0.013967435923607512,bundesregierung,0.029396086296165292,hamas,0.023500793031454487,queer,0.01391950540180737,bio,0.01932556677963633,campaign,0.02216379944699953,em,0.029868688767542097,anschlag,0.02384480139988121,sowjetunion,0.02970705006756397,verkehrswend,0.019182347959601657,arbeitsplatz,0.021385975000776304,gesundheitssystem,0.023189756017788218,gesundheitsministerium,0.022110574244252428,atomenergie,0.03227685992246477,konvention,0.021105532266358716,diesel,0.025811667755204996
8,deutschland,0.012645078248745016,müssen,0.011682949088003047,klimaneutral,0.014427710334233783,antwort,0.011099888335516039,geld,0.015181054747283212,korruption,0.01515272213241674,lukaschenko,0.01843432887008172,test,0.014802327020204861,livestream,0.035666045510312584,jahr,0.01307956936821717,aug,0.029395692441734178,synagoge,0.02099710327759142,gendern,0.013463393772426951,nachhaltig,0.01774789361617185,ref,0.018351365410096538,fan,0.02573811461870944,saytheirnames,0.022549823627403626,werden,0.02612839728196043,öpnv,0.018249391611954536,tarifvertrag,0.021058628312635174,pflegereform,0.02091535537599622,corona,0.021392793517719055,nuklear,0.03181124529190416,european,0.019241905215933153,energiewende,0.02499374212789272
9,neu,0.012529188734452027,land,0.011098850349148467,grüne,0.013960168252443518,gut,0.011020215581184344,hoch,0.01501569491074575,wirecard,0.015118403497095468,ukraine,0.01817749277654985,pandemie,0.014657778794013374,digital,0.035141555546657634,mann,0.012724981351509186,afghanisch,0.02301428705661969,mai,0.01783069521944926,gewalt,0.013316366937128924,tierwohl,0.0173384077836155,redpost,0.018012505929118242,euro,0.024584331232057204,hass,0.021147293601383604,auschwitz,0.026121716438720043,verkehrspolitisch,0.016746189642138122,sozial,0.0185418914906663,altenpflege,0.020138722644000188,maskenaffäre,0.02066475590276985,tschernobyl,0.030941508173828902,istanbulkonvention,0.018823992931625316,hoch,0.023427029242964654
10,wahl,0.011883795644464906,impfpflicht,0.011038545554367977,klimapolitik,0.013392589849249735,tv,0.01097414776629453,million,0.013729853141041097,union,0.014703394394252023,russisch,0.01731583477300315,müssen,0.013383378407035153,video,0.03156050305516715,afd,0.012557426488065767,afghan,0.021960258929341003,opfer,0.015465855008313397,bundestag,0.013071733535771676,umwelt,0.017304169832263336,zeitde,0.017942585048954744,dfb,0.024312163527883023,hashemi,0.019802149278254702,nie,0.0253557725500932,bus,0.015743942628662203,job,0.018173497458019213,mensch,0.02002146272488555,provision,0.01676044316319275,jahr,0.027936894345507834,turkish,0.018823992931625316,benzin,0.023253728991962788
11,btw,0.011336886990427696,gut,0.010761059330381002,grün,0.013375782985167133,internet,0.01060984147828781,zahlen,0.013648046027874339,politik,0.013306167116905014,migration,0.016947054619732962,kinderrecht,0.013335278563073245,uhr,0.030709795623542344,opfer,0.012414910638683165,evakuierung,0.018763939302568595,israelisch,0.015432154507137934,gleichberechtigung,0.012804645030497505,bauer,0.01633245865534219,zonaudev,0.017919339794714377,eintracht,0.02354444594112489,jahr,0.018502233520618614,faschismus,0.024585144883501216,schiene,0.015239612301726423,linksfraktion,0.018168036988104885,personal,0.017879561218727164,spiegel,0.016424802674074496,kernkraft,0.027067631992481623,ankara,0.017548599033630274,kosten,0.02265283887060528
12,wählen,0.011323689188980171,maßnahme,0.009895294126427036,deutschland,0.013186595995721685,zdf,0.010332044270680676,wirtschaft,0.012478326446159285,parlament,0.013295852684973576,sanktion,0.0157817301566909,gut,0.013178817557835598,schöne,0.03042822360202653,berlin,0.012183103308414166,mensch,0.01837282673499728,jüdin,0.015396107952118458,gleichstellung,0.012482082294580341,natur,0.015395819737691937,sm,0.017873390480076336,stadion,0.023153824082886996,ferhat,0.017836512105338872,vergessen,0.023379352275215183,berlin,0.015218492382361778,kurzarbeit,0.017864214311536147,brauchen,0.017848554656956565,million,0.014727964977969864,us,0.02691991329084452,bundesregierung,0.016832745934051544,energie,0.022506684571689063
13,jahr,0.010880492770284503,mio,0.009098756023203881,politik,0.013043762520805819,neu,0.010190751777625802,mrd,0.011920221916995018,scholz,0.012464126664106635,china,0.014898226832997942,kindergrundsicherung,0.012678021068948837,pressekonferenz,0.030386620144320545,mali,0.012046671522863275,deutsch,0.017325065740629603,afd,0.015080027388827077,identität,0.012009160352335416,eu,0.01527443662965256,antwort,0.016873153939802963,fc,0.022077343009106402,unvar,0.017836512105338872,tag,0.019596352839123917,verkehrspolitik,0.014985142146481525,hartz,0.016467371576585448,beschäftigter,0.01751970991241523,euro,0.014678443659260876,ausstieg,0.026788106937955285,austritt,0.016311438635831815,steigend,0.020930255400275433
14,herzlich,0.010632328239661825,schnell,0.009084447591695802,klimaschutzgesetz,0.012270995063637845,app,0.010066146348589882,mensch,0.011861342054193673,spd,0.012391050013545719,afd,0.014177069284193397,brauchen,0.012277446189668433,gut,0.025935914142697122,nsu,0.010923368413267782,ortskräft,0.01596040895960751,angriff,0.015055970753056626,mensch,0.011984054625209177,bundestag,0.01506687294944492,link,0.014830270182753147,bundesliga,0.021365357115008487,rechtsextremismus,0.01783199721521232,nationalsozialismus,0.019271355276772976,elektroauto,0.014122508142880692,iv,0.01611861122042064,endlich,0.01718416573398791,mensch,0.01437517992756425,iran,0.02447705190143081,völkermord,0.015384731914272965,mieter,0.020868220809588046
15,partei,0.010573402476186895,impf,0.009056573936818317,energie,0.011715205827966101,öffentlich,0.010062351119118535,spd,0.011785547352675745,fraktion,0.011110101609679245,deutschland,0.014062904561814867,lehrer,0.01188716845010002,watch,0.02515255427173718,verletzen,0.010824946981620674,maas,0.015195796171985361,islamismus,0.01446032216306269,lgbti,0.010776648153204766,tierschutz,0.015028260342041633,social,0.013817617306469208,england,0.020935949617311305,kampf,0.017428342254743164,erinnerung,0.01899176365408242,verkehrsminister,0.014098292967934642,hubertus,0.01565998903055551,profit,0.017093431042187773,pflicht,0.014057093226454579,bundesregierung,0.02352097448468575,erdoğan,0.014828592234226678,gas,0.02060971217268393
16,fdp,0.01028278672075761,brauchen,0.009049763831396654,wirtschaft,0.011450748881070066,cdu,0.009809270049846027,eu,0.011773817868420288,regierung,0.011070058834937137,usa,0.013216073423683401,bildung,0.011811001656710916,via,0.02342372234754865,mensch,0.010678605051687414,abzug,0.015028806087188994,muslim,0.014382780337358007,politik,0.01074085871597352,klima,0.014778134637931687,zeit,0.01309871794733199,holstein,0.019914692772247194,vili,0.01680048468941061,dürfen,0.016653754687482845,neu,0.01346449115314353,mindestlohn,0.01507306926185414,pflegeversicherung,0.0169353698665659,csu,0.013962295988173775,kernkraftwerk,0.023382189619572263,nato,0.014649335011353197,afd,0.019280615552866986
17,union,0.009924066530429354,welle,0.008830972509944716,gut,0.011370103337811162,online,0.009789924438799794,krise,0.011707331092258036,regel,0.010674359339884998,europa,0.01287880743690442,schulschließung,0.00948094557512093,tv,0.019947365515047735,rechtsextremismus,0.010279297251845367,deutschland,0.01477911373498205,leben,0.014148367030080006,weiblich,0.010551590365787808,renate,0.014762836999657216,donald,0.012343376998423979,kiel,0.019300808535313577,păun,0.01680048468941061,holocaustgedenktag,0.01663912749539536,sprecher,0.013311905699257266,betriebsrat,0.014463065275801296,bezahlen,0.016068938566847754,apotheke,0.013958369324083848,un,0.022455221981429047,tuerkei,0.014427214872545812,strompreis,0.018250156020775857
